threshold,fmr,fnmr
0.0,0.9833333333333333,0.0
0.001,0.9833333333333333,0.0
0.002,0.9833333333333333,0.0
0.003,0.9833333333333333,0.0
0.004,0.9833333333333333,0.0
0.005,0.9833333333333333,0.0
0.006,0.9833333333333333,0.0
0.007,0.9833333333333333,0.0
0.008,0.9833333333333333,0.0
0.009,0.9833333333333333,0.0
0.01,0.9833333333333333,0.0
0.011,0.9833333333333333,0.0
0.012,0.9833333333333333,0.0
0.013,0.9833333333333333,0.0
0.014,0.9833333333333333,0.0
0.015,0.9833333333333333,0.0
0.016,0.9833333333333333,0.0
0.017,0.9833333333333333,0.0
0.018,0.9833333333333333,0.0
0.019,0.98,0.0
0.02,0.98,0.0
0.021,0.98,0.0
0.022,0.9766666666666667,0.0
0.023,0.9733333333333334,0.0
0.024,0.9733333333333334,0.0
0.025,0.9733333333333334,0.0
0.026,0.97,0.0
0.027,0.97,0.0
0.028,0.97,0.0
0.029,0.97,0.0
0.03,0.97,0.0
0.031,0.97,0.0
0.032,0.97,0.0
0.033,0.97,0.0
0.034,0.9666666666666667,0.0
0.035,0.9666666666666667,0.0
0.036,0.9666666666666667,0.0
0.037,0.9666666666666667,0.0
0.038,0.9666666666666667,0.0
0.039,0.9666666666666667,0.0
0.04,0.9666666666666667,0.0
0.041,0.9666666666666667,0.0
0.042,0.9666666666666667,0.0
0.043,0.9666666666666667,0.0
0.044,0.9633333333333334,0.0
0.045,0.96,0.0
0.046,0.96,0.0
0.047,0.96,0.0
0.048,0.96,0.0
0.049,0.96,0.0
0.05,0.96,0.0
0.051,0.96,0.0
0.052,0.96,0.0
0.053,0.96,0.0
0.054,0.96,0.0
0.055,0.96,0.0
0.056,0.96,0.0
0.057,0.96,0.0
0.058,0.96,0.0
0.059,0.9566666666666667,0.0
0.06,0.9566666666666667,0.0
0.061,0.9566666666666667,0.0
0.062,0.9566666666666667,0.0
0.063,0.9533333333333334,0.0
0.064,0.9533333333333334,0.0
0.065,0.9533333333333334,0.0
0.066,0.9533333333333334,0.0
0.067,0.9533333333333334,0.0
0.068,0.9533333333333334,0.0033333333333333335
0.069,0.9533333333333334,0.0033333333333333335
0.07,0.9533333333333334,0.0033333333333333335
0.071,0.9533333333333334,0.0033333333333333335
0.072,0.9533333333333334,0.0033333333333333335
0.073,0.9533333333333334,0.0033333333333333335
0.074,0.9533333333333334,0.0033333333333333335
0.075,0.9533333333333334,0.0033333333333333335
0.076,0.95,0.0033333333333333335
0.077,0.95,0.0033333333333333335
0.078,0.95,0.0033333333333333335
0.079,0.95,0.0033333333333333335
0.08,0.95,0.006666666666666667
0.081,0.95,0.006666666666666667
0.082,0.95,0.006666666666666667
0.083,0.95,0.006666666666666667
0.084,0.95,0.006666666666666667
0.085,0.95,0.006666666666666667
0.086,0.95,0.006666666666666667
0.087,0.95,0.006666666666666667
0.088,0.95,0.006666666666666667
0.089,0.9433333333333334,0.006666666666666667
